year,location,educational_qualification,field_of_study,gender,age_group,population_group,median_income,number_graduates
2014,Alberta,Master's degree,Health and related fields [10],Woman,15 to 34 years,South Asian,79900.0,20.0
2014,Alberta,Master's degree,Health and related fields [10],Woman,35 to 64 years,Not a visible minority,121500.0,180.0
2014,Alberta,Master's degree,Humanities [3],Woman,15 to 34 years,Not a visible minority,75600.0,20.0
2014,Alberta,Master's degree,"Mathematics, computer and information sciences [7]",Man,15 to 34 years,Not a visible minority,81700.0,20.0
2014,Alberta,Master's degree,"Mathematics, computer and information sciences [7]",Man,35 to 64 years,Not a visible minority,106700.0,30.0
2014,Alberta,Master's degree,"Mathematics, computer and information sciences [7]",Woman,15 to 34 years,Not a visible minority,58400.0,20.0
2014,Alberta,Master's degree,Physical and life sciences and technologies [6],Man,15 to 34 years,Not a visible minority,74200.0,60.0
2014,Alberta,Master's degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,Not a visible minority,69700.0,40.0
2014,Alberta,Master's degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Not a visible minority,73300.0,30.0
2014,Alberta,Master's degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Not a visible minority,69100.0,90.0
2014,Alberta,Master's degree,Social and behavioural sciences and law [4],Woman,35 to 64 years,Not a visible minority,89500.0,80.0
2014,Alberta,"Post career, technical or professional training program certificate",Health and related fields [10],Man,15 to 34 years,Not a visible minority,81100.0,30.0
2014,Alberta,"Post career, technical or professional training program certificate",Health and related fields [10],Woman,15 to 34 years,Not a visible minority,98200.0,110.0
2014,Alberta,"Post career, technical or professional training program certificate",Health and related fields [10],Woman,35 to 64 years,Not a visible minority,95800.0,80.0
2014,Alberta,Post-baccalaureate non-graduate diploma,"Business, management and public administration [5]",Man,35 to 64 years,Not a visible minority,171400.0,60.0
2014,Alberta,Post-baccalaureate non-graduate diploma,"Business, management and public administration [5]",Woman,35 to 64 years,Not a visible minority,139200.0,30.0
2014,Alberta,Post-baccalaureate non-graduate diploma,Education [1],Woman,15 to 34 years,Not a visible minority,102100.0,30.0
2014,Alberta,Post-baccalaureate non-graduate diploma,Education [1],Woman,35 to 64 years,Not a visible minority,124800.0,80.0
2014,Alberta,Professional degree,Health and related fields [10],Man,15 to 34 years,Not a visible minority,137500.0,30.0
2014,Alberta,Professional degree,Health and related fields [10],Woman,15 to 34 years,Chinese,128400.0,40.0
2014,Alberta,Professional degree,Health and related fields [10],Woman,15 to 34 years,Not a visible minority,133400.0,40.0
2014,Alberta,Professional degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Not a visible minority,102000.0,100.0
2014,Alberta,Professional degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Not a visible minority,94900.0,80.0
2014,Alberta,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Man,15 to 34 years,Not a visible minority,71900.0,120.0
2014,Alberta,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Woman,15 to 34 years,Not a visible minority,67000.0,110.0
2014,Alberta,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Arab,102300.0,30.0
2014,Alberta,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Chinese,97300.0,90.0
2014,Alberta,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Latin American,86700.0,30.0
2014,Alberta,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Multiple visible minorities,85700.0,20.0
2014,Alberta,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Not a visible minority,89500.0,530.0
2014,Alberta,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,South Asian,114700.0,60.0
2014,Alberta,Undergraduate degree,"Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Chinese,84200.0,30.0
2014,Alberta,Undergraduate degree,"Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Not a visible minority,92600.0,120.0
2014,Alberta,Undergraduate degree,"Architecture, engineering, and related trades [8]",Woman,15 to 34 years,South Asian,88100.0,20.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,Black,50100.0,20.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,Chinese,64900.0,160.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,Not a visible minority,70600.0,960.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,South Asian,60800.0,100.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,Southeast Asian,56300.0,30.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Man,35 to 64 years,Black,71600.0,30.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Man,35 to 64 years,Not a visible minority,92500.0,100.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,Chinese,62000.0,100.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,Filipino,69800.0,20.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,Latin American,60200.0,30.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,Multiple visible minorities,68800.0,60.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,Not a visible minority,65200.0,980.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,South Asian,61500.0,100.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,Southeast Asian,58200.0,20.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Woman,35 to 64 years,Chinese,70000.0,20.0
2014,Alberta,Undergraduate degree,"Business, management and public administration [5]",Woman,35 to 64 years,Not a visible minority,89300.0,170.0
2014,Alberta,Undergraduate degree,Education [1],Man,15 to 34 years,Not a visible minority,80300.0,400.0
2014,Alberta,Undergraduate degree,Education [1],Man,35 to 64 years,Not a visible minority,73800.0,40.0
2014,Alberta,Undergraduate degree,Education [1],Woman,15 to 34 years,Chinese,55600.0,20.0
2014,Alberta,Undergraduate degree,Education [1],Woman,15 to 34 years,Not a visible minority,76600.0,1130.0
2014,Alberta,Undergraduate degree,Education [1],Woman,15 to 34 years,South Asian,69100.0,30.0
2014,Alberta,Undergraduate degree,Education [1],Woman,35 to 64 years,Not a visible minority,67800.0,130.0
2014,Alberta,Undergraduate degree,Health and related fields [10],Man,15 to 34 years,Chinese,85200.0,40.0
2014,Alberta,Undergraduate degree,Health and related fields [10],Man,15 to 34 years,Not a visible minority,80900.0,220.0
2014,Alberta,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,Black,50500.0,20.0
2014,Alberta,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,Chinese,91500.0,80.0
2014,Alberta,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,Filipino,92300.0,50.0
2014,Alberta,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,Korean,92200.0,20.0
2014,Alberta,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,Not a visible minority,88800.0,1310.0
2014,Alberta,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,South Asian,91800.0,80.0
2014,Alberta,Undergraduate degree,Health and related fields [10],Woman,35 to 64 years,Black,119400.0,30.0
2014,Alberta,Undergraduate degree,Health and related fields [10],Woman,35 to 64 years,Not a visible minority,103400.0,180.0
2014,Alberta,Undergraduate degree,Humanities [3],Man,15 to 34 years,Not a visible minority,47800.0,210.0
2014,Alberta,Undergraduate degree,Humanities [3],Man,35 to 64 years,Not a visible minority,84800.0,20.0
2014,Alberta,Undergraduate degree,Humanities [3],Woman,15 to 34 years,Not a visible minority,45600.0,360.0
2014,Alberta,Undergraduate degree,Humanities [3],Woman,15 to 34 years,South Asian,15200.0,20.0
2014,Alberta,Undergraduate degree,Humanities [3],Woman,35 to 64 years,Not a visible minority,70200.0,40.0
2014,Alberta,Undergraduate degree,"Mathematics, computer and information sciences [7]",Man,15 to 34 years,Chinese,68500.0,30.0
2014,Alberta,Undergraduate degree,"Mathematics, computer and information sciences [7]",Man,15 to 34 years,Not a visible minority,75800.0,180.0
2014,Alberta,Undergraduate degree,"Mathematics, computer and information sciences [7]",Woman,15 to 34 years,Not a visible minority,77000.0,20.0
2014,Alberta,Undergraduate degree,"Personal, protective and transportation services [11]",Man,15 to 34 years,Not a visible minority,74100.0,70.0
2014,Alberta,Undergraduate degree,"Personal, protective and transportation services [11]",Man,35 to 64 years,Not a visible minority,152400.0,30.0
2014,Alberta,Undergraduate degree,"Personal, protective and transportation services [11]",Woman,15 to 34 years,Not a visible minority,72900.0,80.0
2014,Alberta,Undergraduate degree,Physical and life sciences and technologies [6],Man,15 to 34 years,Chinese,33800.0,20.0
2014,Alberta,Undergraduate degree,Physical and life sciences and technologies [6],Man,15 to 34 years,Not a visible minority,58000.0,290.0
2014,Alberta,Undergraduate degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,Black,43700.0,20.0
2014,Alberta,Undergraduate degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,Chinese,55100.0,40.0
2014,Alberta,Undergraduate degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,Not a visible minority,56800.0,330.0
2014,Alberta,Undergraduate degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,South Asian,41100.0,30.0
2014,Alberta,Undergraduate degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Chinese,44200.0,50.0
2014,Alberta,Undergraduate degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Not a visible minority,58600.0,440.0
2014,Alberta,Undergraduate degree,Social and behavioural sciences and law [4],Man,15 to 34 years,South Asian,67900.0,30.0
2014,Alberta,Undergraduate degree,Social and behavioural sciences and law [4],Man,35 to 64 years,Not a visible minority,57800.0,20.0
2014,Alberta,Undergraduate degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Black,50500.0,30.0
2014,Alberta,Undergraduate degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Chinese,47000.0,50.0
2014,Alberta,Undergraduate degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Filipino,55200.0,20.0
2014,Alberta,Undergraduate degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Not a visible minority,54400.0,930.0
2014,Alberta,Undergraduate degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,South Asian,54800.0,70.0
2014,Alberta,Undergraduate degree,Social and behavioural sciences and law [4],Woman,35 to 64 years,Not a visible minority,60000.0,80.0
2014,Alberta,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Man,15 to 34 years,Not a visible minority,32600.0,160.0
2014,Alberta,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Woman,15 to 34 years,Not a visible minority,38000.0,290.0
2014,British Columbia,"Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]",Man,35 to 64 years,Not a visible minority,57600.0,20.0
2014,British Columbia,"Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]",Woman,15 to 34 years,Not a visible minority,34200.0,90.0
2014,British Columbia,"Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]",Woman,35 to 64 years,Not a visible minority,50400.0,20.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Black,19000.0,20.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Chinese,39400.0,170.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Filipino,39000.0,130.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Latin American,46200.0,20.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Not a visible minority,44700.0,2570.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,15 to 34 years,South Asian,40500.0,200.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Southeast Asian,36500.0,40.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,35 to 64 years,Chinese,44100.0,30.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,35 to 64 years,Filipino,64700.0,20.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,35 to 64 years,Not a visible minority,60900.0,470.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,35 to 64 years,South Asian,45100.0,30.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Not a visible minority,35900.0,270.0
2014,British Columbia,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Woman,35 to 64 years,Not a visible minority,42300.0,70.0
2014,British Columbia,"Career, technical or professional training certificate","Business, management and public administration [5]",Man,15 to 34 years,Not a visible minority,65900.0,120.0
2014,British Columbia,"Career, technical or professional training certificate","Business, management and public administration [5]",Man,35 to 64 years,Not a visible minority,99200.0,100.0
